Column,Outlier Count
ZTYPEGLASS,120
ZTYPERFR1,38
ZTYPETHERM,28
ZUSECOFFEE,4
ZVCR,65
ZWALLTYPE,101
ZWHYPOWEROUT,27
ZWINDOWS,8
ZWINECHILL,6
ZWINFRAME,188
ZYEARMADERANGE,34
ZTOTROOMS,74
ZDNTHEAT,6
ZSTUDIO,15
ZOUTGRILL,20
ZHOUSEHOLDER_RACE,73
NWEIGHT,19
NWEIGHT1,18
NWEIGHT2,19
NWEIGHT3,19
NWEIGHT4,20
NWEIGHT5,19
NWEIGHT6,18
NWEIGHT7,20
NWEIGHT8,21
NWEIGHT9,19
NWEIGHT10,19
NWEIGHT11,20
NWEIGHT12,18
NWEIGHT13,18
NWEIGHT14,23
NWEIGHT15,20
NWEIGHT16,18
NWEIGHT17,21
NWEIGHT18,18
NWEIGHT19,18
NWEIGHT20,19
NWEIGHT21,20
NWEIGHT22,18
NWEIGHT23,19
NWEIGHT24,19
NWEIGHT25,18
NWEIGHT26,19
NWEIGHT27,19
NWEIGHT28,19
NWEIGHT29,20
NWEIGHT30,19
NWEIGHT31,18
NWEIGHT32,19
NWEIGHT33,21
NWEIGHT34,20
NWEIGHT35,19
NWEIGHT36,19
NWEIGHT37,18
NWEIGHT38,18
NWEIGHT39,19
NWEIGHT40,19
NWEIGHT41,19
NWEIGHT42,20
NWEIGHT43,19
NWEIGHT44,18
NWEIGHT45,20
NWEIGHT46,19
NWEIGHT47,19
NWEIGHT48,21
NWEIGHT49,22
NWEIGHT50,20
NWEIGHT51,18
NWEIGHT52,22
NWEIGHT53,18
NWEIGHT54,19
NWEIGHT55,18
NWEIGHT56,19
NWEIGHT57,20
NWEIGHT58,19
NWEIGHT59,19
NWEIGHT60,18
KWH,41
BTUEL,41
DOLLAREL,34
ZELAMOUNT,21
KWHSPH,56
KWHCOL,36
KWHWTH,34
KWHRFG,41
KWHRFG1,31
KWHRFG2,23
KWHFRZ,33
KWHCOK,35
KWHMICRO,42
KWHCW,33
KWHCDR,36
KWHDWH,25
KWHLGT,49
KWHTVREL,35
KWHTV1,39
KWHTV2,43
KWHTV3,28
KWHAHUHEAT,41
KWHAHUCOL,38
KWHCFAN,44
KWHDHUM,55
KWHHUM,47
KWHPLPMP,28
KWHHTBPMP,71
KWHHTBHEAT,62
KWHEVCHRG,16
KWHNEC,45
KWHOTH,33
BTUELSPH,56
BTUELCOL,36
BTUELWTH,34
BTUELRFG,41
BTUELRFG1,31
BTUELRFG2,23
BTUELFRZ,33
BTUELCOK,35
BTUELMICRO,42
BTUELCW,33
BTUELCDR,36
BTUELDWH,25
BTUELLGT,49
BTUELTVREL,35
BTUELTV1,39
BTUELTV2,43
BTUELTV3,28
BTUELAHUHEAT,41
BTUELAHUCOL,38
BTUELCFAN,44
BTUELDHUM,55
BTUELHUM,47
BTUELPLPMP,28
BTUELHTBPMP,71
BTUELHTBHEAT,62
BTUELEVCHRG,16
BTUELNEC,45
BTUELOTH,33
DOLELSPH,66
DOLELCOL,30
DOLELWTH,39
DOLELRFG,38
DOLELRFG1,25
DOLELRFG2,29
DOLELFRZ,31
DOLELCOK,41
DOLELMICRO,38
DOLELCW,35
DOLELCDR,39
DOLELDWH,32
DOLELLGT,43
DOLELTVREL,37
DOLELTV1,36
DOLELTV2,44
DOLELTV3,37
DOLELAHUHEAT,35
DOLELAHUCOL,37
DOLELCFAN,43
DOLELDHUM,49
DOLELHUM,45
DOLELPLPMP,28
DOLELHTBPMP,60
DOLELHTBHEAT,56
DOLELEVCHRG,15
DOLELNEC,47
DOLELOTH,31
CUFEETNG,29
BTUNG,27
DOLLARNG,40
BTUNGSPH,29
BTUNGWTH,41
BTUNGCOK,43
BTUNGCDR,37
BTUNGPLHEAT,3
BTUNGHTBHEAT,11
BTUNGNEC,10
BTUNGOTH,16
CUFEETNGSPH,32
CUFEETNGWTH,41
CUFEETNGCOK,42
CUFEETNGCDR,36
CUFEETNGPLHEAT,3
CUFEETNGHTBHEAT,11
CUFEETNGNEC,11
CUFEETNGOTH,15
DOLNGSPH,36
DOLNGWTH,46
DOLNGCOK,50
DOLNGCDR,39
DOLNGPLHEAT,3
DOLNGHTBHEAT,10
DOLNGNEC,11
DOLNGOTH,22
GALLONLP,63
BTULP,63
DOLLARLP,56
BTULPSPH,62
BTULPWTH,97
BTULPCOK,68
BTULPCDR,36
BTULPNEC,20
BTULPOTH,22
GALLONLPSPH,62
GALLONLPWTH,97
GALLONLPCOK,68
GALLONLPCDR,36
GALLONLPNEC,20
GALLONLPOTH,22
DOLLPSPH,54
DOLLPWTH,68
DOLLPCOK,54
DOLLPCDR,31
DOLLPNEC,25
DOLLPOTH,27
GALLONFO,59
BTUFO,59
DOLLARFO,60
PERIODFO,145
BTUFOSPH,54
BTUFOWTH,85
BTUFONEC,18
BTUFOOTH,18
GALLONFOSPH,54
GALLONFOWTH,85
GALLONFONEC,18
GALLONFOOTH,18
DOLFOSPH,56
DOLFOWTH,76
DOLFONEC,18
DOLFOOTH,18
BTUWD,35
ZWDAMOUNT,40
TOTALBTUSPH,30
TOTALDOLSPH,32
TOTALBTUWTH,38
TOTALDOLWTH,37
TOTALBTUOTH,36
TOTALDOLOTH,34
TOTALBTU,30
TOTALDOL,31
DBT1,14
DBT99,53
GWT,16
ELECVEH,18
EVCHRGHOME,17
EVCHRGAPT,18
EVCHRGWKS,10
EVCHRGBUS,10
EVCHRGMUNI,11
EVCHRGDLR,10
EVCHRGHWY,10
EVCHRGOTH,10
EVHOMEAMT,17
EVCHRGTYPE,17
